City/Town,How many voters were on your Town Meeting checklist?,"Floor vote towns - By your best estimate, what was the highest vote count?","Floor VoteTurnout (%)",Australian ballot towns - How many people voted (including absentee ballots)?,Australian Ballot Turnout (%),Australian ballot towns - How many voted by absentee ballot?,Absentee Ballot Turnout %,Australian ballot towns - Did your town mail absentee ballots to all active registered voters on your checklist?
Rochester,N/A,150,N/A,N/A,N/A,N/A,N/A,No
Rockingham,"3,981",294,7.39%,577,14.49%,49,8.49%,No
Roxbury,601,88,14.64%,178,29.62%,27,15.17%,No
Royalton,"2,159",118,5.47%,596,27.61%,80,13.42%,No
Rupert,533,N/A,N/A,186,34.90%,44,23.66%,No
Rutland City,"11,614",N/A,N/A,"3,736",32.17%,590,15.79%,No
Rutland Town,"3,375",N/A,N/A,938,27.79%,72,7.68%,No
Ryegate,935,102,10.91%,152,N/A,6,N/A,No
Saint Albans City,"5,733",N/A,N/A,680,11.86%,68,10.00%,No
Saint Albans Town,"4,657",N/A,N/A,914,19.63%,110,12.04%,No
Saint George,642,38,5.92%,78,N/A,5,N/A,No
Saint Johnsbury,"4,620",N/A,N/A,N/A,N/A,183,N/A,No
Salisbury,962,65,6.76%,180,18.71%,8,4.44%,No
Sandgate,347,38,10.95%,87,25.07%,8,9.20%,No
Searsburg,83,N/A,N/A,22,26.51%,N/A,N/A,No
Shaftsbury,"3,063",N/A,N/A,533,17.40%,60,11.26%,No
Sharon,"1,310",96,7.33%,400,30.53%,61,15.25%,No
Sheffield,516,45,8.72%,75,14.53%,1,1.33%,No
Shelburne,"7,060",N/A,N/A,"1,816",25.72%,721,39.70%,No
Sheldon,"1,577",69,4.38%,159,10.08%,14,8.81%,No
Shoreham,921,77,8.36%,201,21.82%,15,7.46%,No
Shrewsbury,947,N/A,N/A,218,23.02%,34,15.60%,No
South Burlington,"17,489",N/A,N/A,"3,612",20.65%,524,14.51%,No
South Hero,"1,616",N/A,N/A,688,42.57%,136,19.77%,No
Springfield,"6,618",N/A,N/A,"1,327",20.05%,325,24.49%,No
Stamford,752,80,10.64%,260,34.57%,25,9.62%,No
Stannard,174,25,14.37%,N/A,N/A,N/A,N/A,No
Starksboro,"1,430",127,8.88%,263,18.39%,24,9.13%,No
Stowe,"4,583",97,2.12%,"1,169",25.51%,246,21.04%,No
Strafford,988,N/A,N/A,498,50.40%,462,92.77%,Yes
Stratton,242,28,11.57%,N/A,N/A,N/A,N/A,No
Sudbury,478,80,16.74%,N/A,N/A,N/A,N/A,No
Sunderland,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sutton,769,60,N/A,N/A,N/A,N/A,N/A,No
Swanton,"4,741",N/A,N/A,803,16.94%,125,15.57%,No
Thetford,"2,239",196,8.75%,481,21.48%,83,17.26%,No
Tinmouth,427,N/A,N/A,150,35.13%,25,16.67%,No
Topsham,N/A,40,N/A,N/A,N/A,N/A,N/A,No
Townshend,"1,173",97,8.27%,N/A,N/A,N/A,N/A,No
Troy,"1,105",48,4.34%,N/A,N/A,N/A,N/A,No
Tunbridge,144,120,83.33%,N/A,N/A,N/A,N/A,No
Underhill,"2,619",175,6.68%,534,20.39%,57,10.67%,No
Vergennes,"2,242",N/A,N/A,590,26.32%,52,8.81%,No
Vernon,"1,836",130,7.08%,455,24.78%,80,17.58%,No
Vershire,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
Victory,65,N/A,N/A,41,63.08%,30,73.17%,No
