town_city,year,Statistic,Value
Bolton,2014,tm_checklist_voters,934
Bolton,2014,highest_flr_vote_count,60
Bolton,2014,Floor Vote Turnout (%),0.064
Bolton,2014,ab_towns_num_voted,296
Bolton,2014,Australian ballot Turnout (%),0.317
Bolton,2014,ab_towns_absentee_votes,23
Bolton,2014,Absentee ballot Turnout (%),0.078
Bradford,2014,tm_checklist_voters,1527
Bradford,2014,highest_flr_vote_count,159
Bradford,2014,Floor Vote Turnout (%),0.104
Bradford,2014,ab_towns_num_voted,NA
Bradford,2014,Australian ballot Turnout (%),NA
Bradford,2014,ab_towns_absentee_votes,NA
Bradford,2014,Absentee ballot Turnout (%),NA
Braintree,2014,tm_checklist_voters,912
Braintree,2014,highest_flr_vote_count,70
Braintree,2014,Floor Vote Turnout (%),0.077
Braintree,2014,ab_towns_num_voted,NA
Braintree,2014,Australian ballot Turnout (%),NA
Braintree,2014,ab_towns_absentee_votes,NA
Braintree,2014,Absentee ballot Turnout (%),NA
Brandon,2014,tm_checklist_voters,2826
Brandon,2014,highest_flr_vote_count,NA
Brandon,2014,Floor Vote Turnout (%),NA
Brandon,2014,ab_towns_num_voted,1246
Brandon,2014,Australian ballot Turnout (%),0.441
Brandon,2014,ab_towns_absentee_votes,115
Brandon,2014,Absentee ballot Turnout (%),0.092
Brattleboro,2014,tm_checklist_voters,8298
Brattleboro,2014,highest_flr_vote_count,145
Brattleboro,2014,Floor Vote Turnout (%),0.017
Brattleboro,2014,ab_towns_num_voted,880
Brattleboro,2014,Australian ballot Turnout (%),0.106
Brattleboro,2014,ab_towns_absentee_votes,224
Brattleboro,2014,Absentee ballot Turnout (%),0.255
Bridgewater,2014,tm_checklist_voters,627
Bridgewater,2014,highest_flr_vote_count,84
Bridgewater,2014,Floor Vote Turnout (%),0.134
Bridgewater,2014,ab_towns_num_voted,NA
Bridgewater,2014,Australian ballot Turnout (%),NA
Bridgewater,2014,ab_towns_absentee_votes,NA
Bridgewater,2014,Absentee ballot Turnout (%),NA
Bridport,2014,tm_checklist_voters,767
Bridport,2014,highest_flr_vote_count,NA
Bridport,2014,Floor Vote Turnout (%),NA
Bridport,2014,ab_towns_num_voted,215
Bridport,2014,Australian ballot Turnout (%),0.28
Bridport,2014,ab_towns_absentee_votes,12
Bridport,2014,Absentee ballot Turnout (%),0.056
Brighton,2014,tm_checklist_voters,878
Brighton,2014,highest_flr_vote_count,NA
Brighton,2014,Floor Vote Turnout (%),NA
Brighton,2014,ab_towns_num_voted,210
Brighton,2014,Australian ballot Turnout (%),0.239
Brighton,2014,ab_towns_absentee_votes,14
Brighton,2014,Absentee ballot Turnout (%),0.067
Bristol,2014,tm_checklist_voters,2610
Bristol,2014,highest_flr_vote_count,122
Bristol,2014,Floor Vote Turnout (%),0.047
Bristol,2014,ab_towns_num_voted,525
Bristol,2014,Australian ballot Turnout (%),0.201
Bristol,2014,ab_towns_absentee_votes,27
Bristol,2014,Absentee ballot Turnout (%),0.051
Brownington,2014,tm_checklist_voters,653
Brownington,2014,highest_flr_vote_count,NA
Brownington,2014,Floor Vote Turnout (%),NA
Brownington,2014,ab_towns_num_voted,NA
Brownington,2014,Australian ballot Turnout (%),NA
Brownington,2014,ab_towns_absentee_votes,NA
Brownington,2014,Absentee ballot Turnout (%),NA
Brunswick,2014,tm_checklist_voters,75
Brunswick,2014,highest_flr_vote_count,23
Brunswick,2014,Floor Vote Turnout (%),0.307
Brunswick,2014,ab_towns_num_voted,NA
Brunswick,2014,Australian ballot Turnout (%),NA
Brunswick,2014,ab_towns_absentee_votes,NA
Brunswick,2014,Absentee ballot Turnout (%),NA
Burlington,2014,tm_checklist_voters,29685
Burlington,2014,highest_flr_vote_count,NA
Burlington,2014,Floor Vote Turnout (%),NA
Burlington,2014,ab_towns_num_voted,7707
Burlington,2014,Australian ballot Turnout (%),0.26
Burlington,2014,ab_towns_absentee_votes,1363
Burlington,2014,Absentee ballot Turnout (%),0.177
Cabot,2014,tm_checklist_voters,1047
Cabot,2014,highest_flr_vote_count,46
Cabot,2014,Floor Vote Turnout (%),0.044
Cabot,2014,ab_towns_num_voted,286
Cabot,2014,Australian ballot Turnout (%),0.273
Cabot,2014,ab_towns_absentee_votes,22
Cabot,2014,Absentee ballot Turnout (%),0.077
Calais,2014,tm_checklist_voters,1294
Calais,2014,highest_flr_vote_count,200
Calais,2014,Floor Vote Turnout (%),0.155
Calais,2014,ab_towns_num_voted,361
Calais,2014,Australian ballot Turnout (%),0.279
Calais,2014,ab_towns_absentee_votes,45
Calais,2014,Absentee ballot Turnout (%),0.125
Cambridge,2014,tm_checklist_voters,2899
Cambridge,2014,highest_flr_vote_count,NA
Cambridge,2014,Floor Vote Turnout (%),NA
Cambridge,2014,ab_towns_num_voted,306
Cambridge,2014,Australian ballot Turnout (%),0.106
Cambridge,2014,ab_towns_absentee_votes,19
Cambridge,2014,Absentee ballot Turnout (%),0.062
Canaan,2014,tm_checklist_voters,593
Canaan,2014,highest_flr_vote_count,NA
Canaan,2014,Floor Vote Turnout (%),NA
Canaan,2014,ab_towns_num_voted,115
Canaan,2014,Australian ballot Turnout (%),0.194
Canaan,2014,ab_towns_absentee_votes,5
Canaan,2014,Absentee ballot Turnout (%),0.043
Cavendish,2014,tm_checklist_voters,1040
Cavendish,2014,highest_flr_vote_count,NA
Cavendish,2014,Floor Vote Turnout (%),NA
Cavendish,2014,ab_towns_num_voted,NA
Cavendish,2014,Australian ballot Turnout (%),NA
Cavendish,2014,ab_towns_absentee_votes,NA
Cavendish,2014,Absentee ballot Turnout (%),NA
Charleston,2014,tm_checklist_voters,655
Charleston,2014,highest_flr_vote_count,97
Charleston,2014,Floor Vote Turnout (%),0.148
Charleston,2014,ab_towns_num_voted,52
Charleston,2014,Australian ballot Turnout (%),0.079
Charleston,2014,ab_towns_absentee_votes,NA
Charleston,2014,Absentee ballot Turnout (%),NA
Chelsea,2014,tm_checklist_voters,913
Chelsea,2014,highest_flr_vote_count,94
Chelsea,2014,Floor Vote Turnout (%),0.103
Chelsea,2014,ab_towns_num_voted,NA
Chelsea,2014,Australian ballot Turnout (%),NA
Chelsea,2014,ab_towns_absentee_votes,NA
Chelsea,2014,Absentee ballot Turnout (%),NA
Chester,2014,tm_checklist_voters,2244
Chester,2014,highest_flr_vote_count,87
Chester,2014,Floor Vote Turnout (%),0.039
Chester,2014,ab_towns_num_voted,402
Chester,2014,Australian ballot Turnout (%),0.179
Chester,2014,ab_towns_absentee_votes,11
Chester,2014,Absentee ballot Turnout (%),0.027
Chittenden,2014,tm_checklist_voters,NA
Chittenden,2014,highest_flr_vote_count,NA
Chittenden,2014,Floor Vote Turnout (%),NA
Chittenden,2014,ab_towns_num_voted,249
Chittenden,2014,Australian ballot Turnout (%),NA
Chittenden,2014,ab_towns_absentee_votes,32
Chittenden,2014,Absentee ballot Turnout (%),0.129
Clarendon,2014,tm_checklist_voters,49
Clarendon,2014,highest_flr_vote_count,NA
Clarendon,2014,Floor Vote Turnout (%),NA
Clarendon,2014,ab_towns_num_voted,500
Clarendon,2014,Australian ballot Turnout (%),10.204
Clarendon,2014,ab_towns_absentee_votes,23
Clarendon,2014,Absentee ballot Turnout (%),0.046
Colchester,2014,tm_checklist_voters,11328
Colchester,2014,highest_flr_vote_count,NA
Colchester,2014,Floor Vote Turnout (%),NA
Colchester,2014,ab_towns_num_voted,2958
Colchester,2014,Australian ballot Turnout (%),0.261
Colchester,2014,ab_towns_absentee_votes,556
Colchester,2014,Absentee ballot Turnout (%),0.188
Concord,2014,tm_checklist_voters,785
Concord,2014,highest_flr_vote_count,NA
Concord,2014,Floor Vote Turnout (%),NA
Concord,2014,ab_towns_num_voted,340
Concord,2014,Australian ballot Turnout (%),0.433
Concord,2014,ab_towns_absentee_votes,78
Concord,2014,Absentee ballot Turnout (%),0.229
Corinth,2014,tm_checklist_voters,966
Corinth,2014,highest_flr_vote_count,100
Corinth,2014,Floor Vote Turnout (%),0.104
Corinth,2014,ab_towns_num_voted,235
Corinth,2014,Australian ballot Turnout (%),0.243
Corinth,2014,ab_towns_absentee_votes,16
Corinth,2014,Absentee ballot Turnout (%),0.068
Coventry,2014,tm_checklist_voters,682
Coventry,2014,highest_flr_vote_count,79
Coventry,2014,Floor Vote Turnout (%),0.116
Coventry,2014,ab_towns_num_voted,NA
Coventry,2014,Australian ballot Turnout (%),NA
Coventry,2014,ab_towns_absentee_votes,NA
Coventry,2014,Absentee ballot Turnout (%),NA
Danby,2014,tm_checklist_voters,892
Danby,2014,highest_flr_vote_count,52
Danby,2014,Floor Vote Turnout (%),0.058
Danby,2014,ab_towns_num_voted,455
Danby,2014,Australian ballot Turnout (%),0.51
Danby,2014,ab_towns_absentee_votes,197
Danby,2014,Absentee ballot Turnout (%),0.433
Danville,2014,tm_checklist_voters,1658
Danville,2014,highest_flr_vote_count,230
Danville,2014,Floor Vote Turnout (%),0.139
Danville,2014,ab_towns_num_voted,288
Danville,2014,Australian ballot Turnout (%),0.174
Danville,2014,ab_towns_absentee_votes,9
Danville,2014,Absentee ballot Turnout (%),0.031
Derby,2014,tm_checklist_voters,3052
Derby,2014,highest_flr_vote_count,NA
Derby,2014,Floor Vote Turnout (%),NA
Derby,2014,ab_towns_num_voted,769
Derby,2014,Australian ballot Turnout (%),0.252
Derby,2014,ab_towns_absentee_votes,156
Derby,2014,Absentee ballot Turnout (%),0.203
Dorset,2014,tm_checklist_voters,1664
Dorset,2014,highest_flr_vote_count,127
Dorset,2014,Floor Vote Turnout (%),0.076
Dorset,2014,ab_towns_num_voted,385
Dorset,2014,Australian ballot Turnout (%),0.231
Dorset,2014,ab_towns_absentee_votes,21
Dorset,2014,Absentee ballot Turnout (%),0.055
Dummerston,2014,tm_checklist_voters,1654
Dummerston,2014,highest_flr_vote_count,100
Dummerston,2014,Floor Vote Turnout (%),0.06
Dummerston,2014,ab_towns_num_voted,309
Dummerston,2014,Australian ballot Turnout (%),0.187
Dummerston,2014,ab_towns_absentee_votes,31
Dummerston,2014,Absentee ballot Turnout (%),0.1
Duxbury,2014,tm_checklist_voters,1043
