CITY/TOWN          , "AUSTRALIAN
                     BALLOT used to
                     vote for Town
                     Officers"     , "AUSTRALIAN
                                     BALLOT used to
                                     vote for Town
                                     Budget"       , "AUSTRALIAN
                                                     BALLOT used to
                                                     vote for Town
                                                     Public Questions", "AUSTRALIAN BALLOT voting
                                                                        adopted by TOWN for budget,
                                                                        officers, or public questions
                                                                        at 2025 Town Meeting"              , "AUSTRALIAN BALLOT used for
Clarendon          , Yes           , Yes           , Yes              , no                                 , Partially                  , Yes            , No               , Yes              , Yes                  , no
Colchester         , Yes           , Yes           , Yes              , n/a                                , No                         , No             , No               , No               , No                   , n/a
Concord            , Yes           , Yes           , Yes              , N/A                                , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
Corinth            , Yes           , No            , No               , no                                 , Partially                  , Yes            , Yes              , Yes              , No                   , "The School Meeting is separate
                                                                                                                                                                                                                        from the Town Meeting"
Cornwall           , Yes           , No            , No               , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Coventry           , No            , No            , No               , no                                 , Yes                        , No             , Yes              , Yes              , Yes                  , no - australian ballot
Craftsbury         , No            , No            , No               , Yes - Officers                     , N/A                        , No             , N/A              , N/A              , N/A                  , N/A
Danby              , Yes           , Yes           , Yes              , N/A                                , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
Danville           , No            , Yes           , No               , NO                                 , No                         , No             , No               , No               , No                   , N/A
Derby              , Yes           , No            , Yes              , no                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , no
Dorset             , Yes           , Yes           , No               , No                                 , Partially                  , Yes            , Yes              , Yes              , No                   , No
Dover              , Yes           , No            , No               , no                                 , Partially                  , Yes            , Yes              , No               , No                   , "Annual Meeting is last Tue. in
                                                                                                                                                                                                                        April"
Dummerston         , Yes           , No            , No               , No                                 , Partially                  , Yes            , Yes              , No               , No                   , N/A
Duxbury            , Yes           , Yes           , Yes              , no                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
East Haven         , Yes           , Yes           , Yes              , no                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , no
East Montpelier    , Yes           , Yes           , No               , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Eden               , No            , No            , No               , NO                                 , Partially                  , Yes            , No               , Yes              , No                   , No
Elmore             , No            , No            , No               , NO                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , NO
Enosburgh          , Yes           , Yes           , Yes              , 2024 WE DID                        , Yes                        , Yes            , Yes              , Yes              , Yes                  , 2024
Essex Junction City, Yes           , Yes           , Yes              , No - this is in the Charter        , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Essex Town         , Yes           , Yes           , Yes              , No                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Fair Haven         , Yes           , Yes           , Yes              , NO                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , No
Fairfax            , Yes           , Yes           , Yes              , NO                                 , No                         , No             , No               , No               , No                   , NO
Fairfield          , No            , No            , No               , NO                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , n/a
Fairlee            , No            , No            , No               , NO                                 , Partially                  , No             , Yes              , No               , No                   , NO
Fayston            , No            , No            , No               , no                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , Our District is Australian Ballot
Ferrisburgh        , Yes           , No            , No               , no                                 , Partially                  , Yes            , No               , Yes              , No                   , no
Fletcher           , Yes           , Yes           , Yes              , "No.  We had a special meeting
                                                                        (floor vote) in October 2024 to
                                                                        do this."                          , Yes                        , No             , Yes              , Yes              , Yes                  , "No.  We had a special meeting
                                                                                                                                                                                                                        (floor vote) in October 2024 to do
                                                                                                                                                                                                                        this."
Franklin           , No            , No            , No               , no                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , n/a
Georgia            , Yes           , Yes           , No               , no                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , no
Glover             , No            , No            , No               , no                                 , No                         , Yes            , No               , No               , No                   , no
Goshen             , Yes           , No            , Yes              , No                                 , Partially                  , Yes            , Yes              , Yes              , No                   , No
Grafton            , Yes           , No            , Yes              , NO                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , NO
Granby             , No            , No            , No               , no                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , no
Grand Isle         , Yes           , Yes           , Yes              , NO                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , NO
Granville          , No            , No            , No               , NO                                 , No                         , Yes            , No               , No               , No                   , "No; the School District will hold
                                                                                                                                                                                                                        their annual meeting in May
                                                                                                                                                                                                                        2025."
Greensboro         , No            , No            , No               , "The Town voted to move Town
                                                                        Officials voting to Australian
                                                                        Ballot on Town Meeting 2026"       , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
Groton             , No            , No            , No               , no                                 , Partially                  , Yes            , No               , Yes              , Yes                  , no
Guildhall          , Yes           , No            , No               , NO                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , NO
Guilford           , Yes           , No            , No               , "We vote for articles via the floor
                                                                        and vote for officials via
                                                                        Australian Ballot"                 , Partially                  , Yes            , Yes              , No               , No                   , "Board members are voted via
                                                                                                                                                                                                                        Australian Ballot. Everything else
                                                                                                                                                                                                                        is from the floor."
Halifax            , Yes           , No            , Yes              , NO                                 , Partially                  , No             , Yes              , No               , No                   , NO
Hancock            , No            , No            , No               , No                                 , No                         , Yes            , No               , No               , No                   , No
Hardwick           , Yes           , No            , Yes              , No                                 , Partially                  , Yes            , No               , Yes              , Yes                  , No
Hartford           , Yes           , Yes           , Yes              , N/A                                , Yes                        , No             , Yes              , Yes              , Yes                  , N/A
Hartland           , Yes           , No            , No               , No                                 , Partially                  , Yes            , Yes              , Yes              , No                   , No
Highgate           , Yes           , Yes           , Yes              , we did last year                   , Yes                        , Yes            , Yes              , Yes              , Yes                  , SEVERAL YEARS AGO
Hinesburg          , Yes           , Yes           , Yes              , N/A                                , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
Coventry           , No            , No            , No               , no                                 , Yes                        , No             , Yes              , Yes              , Yes                  , no - australian ballot
Craftsbury         , No            , No            , No               , Yes - Officers                     , N/A                        , No             , N/A              , N/A              , N/A                  , N/A
Danby              , Yes           , Yes           , Yes              , N/A                                , Yes                        , Yes            , Yes              , Yes              , Yes                  , N/A
Holland            , No            , Yes           , No               , no                                 , Yes                        , Yes            , Yes              , Yes              , Yes                  , n/a
