town_city,year,method_description,usage,voting_method
ARLINGTON,2017,Does your UNION SCHOOL DISTRICT use AUSTRAILIAN BALLOT voting for BUDGET?,NA,union_sd_ab_budget
ARLINGTON,2017,Does your UNION SCHOOL DISTRICT use AUSTRALIAN BALLOT voting for PUBLIC QUESTIONS?,NA,union_sd_ab_public_q
ATHENS,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN OFFICERS?,No,town_ab_officers
ATHENS,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN BUDGET?,No,town_ab_budget
ATHENS,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN PUBLIC QUESTIONS?,No,town_ab_public_q
ATHENS,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT OFFICERS?,No,town_sd_ab_officers
ATHENS,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT BUDGET?,No,town_sd_ab_budget
ATHENS,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT PUBLIC QUESTIONS?,No,town_sd_ab_public_q
ATHENS,2017,"Did your town move to AUSTRAILIAN BALLOT voting for your budget, officers, or public questions at 2018 Town Meeting?",NA,town_ab_moved_2018
ATHENS,2017,Is your town a member of UNION SCHOOL DISTRICT?,NA,union_sd_member
ATHENS,2017,Does your UNION SCHOOL DISTRICT use AUSTRALIAN BALLOTS voting for OFFICERS?,NA,union_sd_ab_officers
ATHENS,2017,Does your UNION SCHOOL DISTRICT use AUSTRAILIAN BALLOT voting for BUDGET?,NA,union_sd_ab_budget
ATHENS,2017,Does your UNION SCHOOL DISTRICT use AUSTRALIAN BALLOT voting for PUBLIC QUESTIONS?,NA,union_sd_ab_public_q
BAKERSFIELD,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN OFFICERS?,Yes,town_ab_officers
BAKERSFIELD,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN BUDGET?,No,town_ab_budget
BAKERSFIELD,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN PUBLIC QUESTIONS?,No,town_ab_public_q
BAKERSFIELD,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT OFFICERS?,Yes,town_sd_ab_officers
BAKERSFIELD,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT BUDGET?,Yes,town_sd_ab_budget
BAKERSFIELD,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT PUBLIC QUESTIONS?,Yes,town_sd_ab_public_q
BAKERSFIELD,2017,"Did your town move to AUSTRAILIAN BALLOT voting for your budget, officers, or public questions at 2018 Town Meeting?",NA,town_ab_moved_2018
BAKERSFIELD,2017,Is your town a member of UNION SCHOOL DISTRICT?,NA,union_sd_member
BAKERSFIELD,2017,Does your UNION SCHOOL DISTRICT use AUSTRALIAN BALLOTS voting for OFFICERS?,NA,union_sd_ab_officers
BAKERSFIELD,2017,Does your UNION SCHOOL DISTRICT use AUSTRAILIAN BALLOT voting for BUDGET?,NA,union_sd_ab_budget
BAKERSFIELD,2017,Does your UNION SCHOOL DISTRICT use AUSTRALIAN BALLOT voting for PUBLIC QUESTIONS?,NA,union_sd_ab_public_q
BALTIMORE,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN OFFICERS?,No,town_ab_officers
BALTIMORE,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN BUDGET?,No,town_ab_budget
BALTIMORE,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN PUBLIC QUESTIONS?,No,town_ab_public_q
BALTIMORE,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT OFFICERS?,No,town_sd_ab_officers
BALTIMORE,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT BUDGET?,No,town_sd_ab_budget
BALTIMORE,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT PUBLIC QUESTIONS?,No,town_sd_ab_public_q
BALTIMORE,2017,"Did your town move to AUSTRAILIAN BALLOT voting for your budget, officers, or public questions at 2018 Town Meeting?",NA,town_ab_moved_2018
BALTIMORE,2017,Is your town a member of UNION SCHOOL DISTRICT?,NA,union_sd_member
BALTIMORE,2017,Does your UNION SCHOOL DISTRICT use AUSTRALIAN BALLOTS voting for OFFICERS?,NA,union_sd_ab_officers
BALTIMORE,2017,Does your UNION SCHOOL DISTRICT use AUSTRAILIAN BALLOT voting for BUDGET?,NA,union_sd_ab_budget
BALTIMORE,2017,Does your UNION SCHOOL DISTRICT use AUSTRALIAN BALLOT voting for PUBLIC QUESTIONS?,NA,union_sd_ab_public_q
BARNARD,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN OFFICERS?,No,town_ab_officers
BARNARD,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN BUDGET?,No,town_ab_budget
BARNARD,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN PUBLIC QUESTIONS?,Yes,town_ab_public_q
BARNARD,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT OFFICERS?,No,town_sd_ab_officers
BARNARD,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT BUDGET?,No,town_sd_ab_budget
BARNARD,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT PUBLIC QUESTIONS?,No,town_sd_ab_public_q
BARNARD,2017,"Did your town move to AUSTRAILIAN BALLOT voting for your budget, officers, or public questions at 2018 Town Meeting?",NA,town_ab_moved_2018
BARNARD,2017,Is your town a member of UNION SCHOOL DISTRICT?,NA,union_sd_member
BARNARD,2017,Does your UNION SCHOOL DISTRICT use AUSTRALIAN BALLOTS voting for OFFICERS?,NA,union_sd_ab_officers
BARNARD,2017,Does your UNION SCHOOL DISTRICT use AUSTRAILIAN BALLOT voting for BUDGET?,NA,union_sd_ab_budget
BARNARD,2017,Does your UNION SCHOOL DISTRICT use AUSTRALIAN BALLOT voting for PUBLIC QUESTIONS?,NA,union_sd_ab_public_q
BARNET,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN OFFICERS?,No,town_ab_officers
BARNET,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN BUDGET?,No,town_ab_budget
BARNET,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN PUBLIC QUESTIONS?,No,town_ab_public_q
BARNET,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT OFFICERS?,No,town_sd_ab_officers
BARNET,2017,Does your town use AUSTRALIAN BALLOT voting for TOWN SCHOOL DISTRICT BUDGET?,No,town_sd_ab_budget
